Number_Trees,Precision,Recall,F1_Score
3,90.59,90.84,90.66
4,90.73,92.43,91.57
5,94.49,95.60,95.04
6,91.66,93.34,92.49
7,94.17,95.38,94.77
8,91.46,93.20,92.32
9,94.65,96.23,95.43
10,92.87,94.98,93.91
11,94.10,95.88,94.98
12,95.37,96.69,96.02
13,94.49,96.31,95.39
14,94.34,95.99,95.15
15,92.81,95.07,93.92
16,93.78,95.65,94.70
17,94.24,96.09,95.15
18,94.41,96.11,95.25
19,94.73,96.33,95.52
20,94.32,96.30,95.30
