Number_Trees,Precision,Recall,F1_Score
3,80.37,63.34,70.65
4,74.18,55.94,63.18
5,79.82,60.83,68.83
6,79.36,60.52,68.50
7,73.70,55.53,63.11
8,75.07,55.55,63.65
9,71.60,54.97,62.09
10,70.06,53.97,60.83
11,75.43,56.79,64.70
12,81.73,59.97,68.99
13,74.92,56.67,64.49
14,75.19,56.02,64.13
15,73.90,55.83,63.51
16,70.82,53.84,61.10
17,77.57,55.80,64.78
18,79.39,56.21,65.68
19,77.83,55.80,64.86
20,79.64,56.21,65.76
