Number_Trees,Precision,Recall,F1_Score
3,88.13,85.99,87.00
4,88.43,87.35,87.86
5,92.75,91.95,92.34
6,91.59,90.47,91.02
7,94.08,93.92,93.99
8,93.37,93.55,93.46
9,95.11,95.14,95.12
10,94.62,94.33,94.47
11,95.77,95.56,95.66
12,94.94,94.41,94.67
13,95.50,95.56,95.53
14,96.43,96.59,96.51
15,96.77,96.32,96.54
16,96.49,96.51,96.50
17,97.60,97.46,97.53
18,97.60,97.46,97.53
19,97.18,97.06,97.12
20,96.96,96.98,96.97
